cluster,volume_cluster,aantal_keywords,intent,template,nieuwe_url,huidige_positie,huidige_url,bestaande_handle,content_chars,prioriteit,serp_features
japandi kast,1750,4,"Informational,Commercial,Non-branded,Non-local",koopgids,/japandi-kast/,26,/collections/japandi-kasten,japandi-kasten,5902,P1,"Shopping Ads,Thumbnail,Top ads,Shopping,Image pack,People al"
japandi woonkamer,1600,1,"Informational,Non-branded,Non-local",gids,/japandi-woonkamer/,30,/collections/japandi-woonkamer,japandi-woonkamer,4681,P1,"Image pack,People also ask,Shopping,Thumbnail,Video preview"
japandi plafondlamp,1500,1,"Informational,Commercial,Non-branded,Non-local",koopgids,/japandi-plafondlamp/,19,/collections/plafondlampen,plafondlampen,8569,P1,"Shopping Ads,Thumbnail,Shopping,Image pack,Sitelinks"
japandi behang,1390,2,"Informational,Commercial,Non-branded,Non-local",koopgids,/japandi-behang/,27,/collections/japandi-behang,japandi-behang,2907,P1,"Shopping Ads,Thumbnail,Shopping,Image pack,Video preview,Sit"
japandi spiegel,800,1,"Informational,Commercial,Non-branded,Non-local",koopgids,/japandi-spiegel/,26,/collections/japandi-spiegels,japandi-spiegels,2725,P1,"Shopping Ads,Thumbnail,Shopping,People also ask,Image pack,V"
japandi dressoir,800,1,"Informational,Commercial,Non-branded,Non-local",koopgids,/japandi-dressoir/,22,/collections/japandi-kasten,japandi-dressoirs,4554,P1,"Shopping Ads,Thumbnail,Shopping,Image pack,Sitelinks"
japandi nachtkastje,800,1,"Informational,Commercial,Transactional,Non-branded,Non-local",koopgids,/japandi-nachtkastje/,23,/collections/japandi-nachtkastjes,japandi-nachtkastjes,2091,P1,"Shopping Ads,Thumbnail,Shopping,Sitelinks,Image pack,Bottom "
japandi vaas,600,1,"Informational,Commercial,Transactional,Non-branded,Non-local",koopgids,/japandi-vaas/,17,/collections/vazen,,0,P1,"Shopping Ads,Thumbnail,Shopping,Image pack,People also ask,V"
japandi slaapkamer,550,2,"Informational,Non-branded,Non-local",gids,/japandi-slaapkamer/,18,/collections/japandi-slaapkamer,japandi-slaapkamer,2982,P1,"Image pack,People also ask"
japandi bloempot,340,2,"Informational,Commercial,Transactional,Non-branded,Non-local",koopgids,/japandi-bloempot/,11,/collections/japandi-bloempotten,,0,P1,"Image pack,People also ask,Shopping,Thumbnail"
japandi bureau,300,1,"Informational,Commercial,Non-branded,Non-local",koopgids,/japandi-bureau/,9,/collections/japandi-bureaus,japandi-bureaus,1451,P1,"Image pack,People also ask"
japandi stijl,22770,8,"Informational,Non-branded,Non-local",pillar,/japandi-stijl/,32,/,,0,P2,"AI Overview,Thumbnail,People also ask,Video preview,Image pa"
japandi lamp,8400,9,"Informational,Commercial,Transactional,Non-branded,Non-local",koopgids,/japandi-lamp/,,,lampen,10898,P2,"Shopping Ads,Thumbnail,Top ads,Shopping,People also ask,Imag"
japandi keuken,7900,3,"Informational,Commercial,Non-branded,Non-local",koopgids,/japandi-keuken/,,,japandi-keuken,6375,P2,"Image pack,People also ask,Bottom ads,Video preview"
japandi meubels,7500,2,"Informational,Commercial,Non-branded,Non-local",koopgids,/japandi-meubels/,,,japandi-meubels,5230,P2,"AI Overview,Thumbnail,People also ask,Video preview,Image pa"
japandi tv meubel,5850,2,"Informational,Commercial,Transactional,Non-branded,Non-local",koopgids,/japandi-tv-meubel/,,,tv-meubels,9513,P2,"Shopping Ads,Thumbnail,Top ads,Shopping,Video preview,Image "
japandi eetkamerstoel,5450,4,"Informational,Commercial,Transactional,Non-branded,Non-local",koopgids,/japandi-eetkamerstoel/,,,eetkamerstoelen,8437,P2,"Shopping Ads,Thumbnail,Top ads,Shopping,Image pack,Bottom ad"
japandi eettafel,5000,4,"Informational,Commercial,Transactional,Non-branded,Non-local",koopgids,/japandi-eettafel/,,,eettafels,8720,P2,"Shopping Ads,Thumbnail,Top ads,Shopping,People also ask,Imag"
japandi salontafel,4050,2,"Informational,Commercial,Transactional,Non-branded,Non-local",koopgids,/japandi-salontafel/,47,/collections/salontafels,salontafels,5976,P2,"Shopping,Thumbnail,Image pack,People also ask,Video preview"
japandi vloerkleed,3700,6,"Informational,Commercial,Transactional,Non-branded,Non-local",koopgids,/japandi-vloerkleed/,,,,0,P2,"Shopping Ads,Thumbnail,Top ads,Shopping,Image pack,People al"
japandi badkamer,2400,2,"Informational,Non-branded,Non-local",gids,/japandi-badkamer/,,,japandi-badkamer,4814,P2,"Shopping Ads,Thumbnail,Image pack,People also ask,Shopping,B"
